latitude,longitude,dpc_type,onsite
36.2126122,-115.2501872,Pure DPC,No
29.733223,-95.8455632,Pure DPC,Yes
40.7511885,-96.6650942,Hybrid,No
42.0350511,-97.4661127,Hybrid,No
41.8867506,-103.6640883,Hybrid,No
41.8422766,-87.98760190000002,Pure DPC,Yes
64.8349904,-147.845624,Pure DPC,No
33.5094088,-82.084538,Pure DPC,No
35.6487177,-88.3923076,Hybrid,No
47.7103226,-117.4074194,Pure DPC,No
34.1676286,-118.5976771,Pure DPC,No
28.3631828,-80.6998579,Pure DPC,No
47.6279456,-117.3810567,Pure DPC,No
45.6728715,-111.1009098,Hybrid,Yes
36.2126122,-115.2501872,Pure DPC,No
37.6883404,-87.9138416,Pure DPC,No
36.2145901,-115.2509281,Pure DPC,No
29.733223,-95.8455632,Pure DPC,No
43.1838426,-96.1445036,Pure DPC,No
40.7511885,-96.6650942,Hybrid,No
42.0350511,-97.4661127,Hybrid,No
41.8867506,-103.6640883,Hybrid,No
41.8422766,-87.98760190000002,Pure DPC,Yes
42.4704443,-83.2216141,Pure DPC,No
39.5799995,-104.9049004,Pure DPC,No
33.5094088,-82.084538,Pure DPC,No
35.6487177,-88.3923076,Hybrid,No
47.7103226,-117.4074194,Pure DPC,No
29.1805713,-82.1381706,Pure DPC,No
34.1676286,-118.5976771,Pure DPC,No
28.3616277,-80.70578309999999,Pure DPC,No
29.6560296,-82.487845,Pure DPC,No
37.3776032,-79.24903549999999,Pure DPC,No
33.6191929,-111.8810617,Pure DPC,No
42.84796,-106.312937,Pure DPC,No
35.0496205,-85.32172779999999,Hybrid,No
33.8425041,-84.485404,Pure DPC,No
34.1741039,-84.4184976,Pure DPC,No
40.233553,-79.562511,Pure DPC,Yes
43.4208335,-85.8004361,Pure DPC,No
42.517242,-83.33598800000001,Pure DPC,No
36.0103308,-95.88968030000001,Pure DPC,No
28.099347,-82.4615007,Pure DPC,No
39.2140045,-76.8844974,Pure DPC,Yes
32.747888,-97.3618664,Pure DPC,No
32.747334,-97.11841899999999,Pure DPC,No
30.1322157,-95.452485,Pure DPC,No
40.4793638,-78.4046406,Pure DPC,No
30.5128553,-97.7042075,Pure DPC,No
39.9315175,-105.0535963,Pure DPC,No
32.0292433,-81.0971392,Pure DPC,No
35.2116629,-87.02693599999999,Pure DPC,No
26.182099,-97.70248970000002,Pure DPC,No
39.519168,-84.742713,Pure DPC,No
44.866271,-93.32992,Pure DPC,No
30.2682617,-81.3903771,Pure DPC,No
29.5819502,-98.5394274,Pure DPC,No
42.298939,-71.0305549,Hybrid,No
33.6383106,-86.5795407,Hybrid,No
35.4115133,-80.8603084,Pure DPC,No
35.0270808,-80.9627052,Pure DPC,No
28.60529,-81.3738392,Pure DPC,No
32.8129825,-96.75429559999999,Pure DPC,No
32.8068097,-80.0079025,Pure DPC,No
38.780424,-90.57763059999999,Pure DPC,No
30.2595751,-81.3903488,Pure DPC,No
39.3537657,-84.45970059999999,Pure DPC,Yes
42.9885875,-88.0736817,Pure DPC,No
36.022895,-95.97112299999999,Hybrid,No
46.6666846,-94.1127885,Pure DPC,No
33.6392946,-117.9153344,Pure DPC,No
37.0954303,-113.5682465,Pure DPC,No
43.6406886,-70.25474779999999,Pure DPC,No
40.372134,-105.1960795,Unknown/Other,No
26.1277571,-80.2475355,Pure DPC,No
47.8503762,-122.2491874,Pure DPC,No
31.9409161,-81.05170319999999,Pure DPC,No
40.9800143,-74.1123882,Pure DPC,No
29.5736157,-98.5477683,Pure DPC,No
40.0099543,-75.1960247,Pure DPC,No
35.9840716,-75.6447434,Pure DPC,No
42.9479698,-85.5685268,Pure DPC,No
26.3780118,-81.81014449999999,Pure DPC,No
42.5015496,-70.85737879999999,Pure DPC,No
41.1358799,-81.55295930000001,Hybrid,No
40.1268264,-75.5170926,Pure DPC,No
34.5871874,-112.3188283,Pure DPC,No
26.6731877,-80.24731299999999,Hybrid,No
33.1372024,-96.7311419,Pure DPC,Yes
39.454392,-76.630446,Hybrid,No
40.1991439,-75.1194651,Pure DPC,No
36.3900798,-97.8645075,Pure DPC,No
40.5899453,-75.6277721,Pure DPC,No
43.1078704,-89.49683979999999,Pure DPC,No
36.419198,-97.927421,Pure DPC,No
39.1850351,-76.8701593,Pure DPC,No
32.4815681,-96.9891667,Pure DPC,No
34.0486995,-84.5906193,Pure DPC,No
30.0483865,-95.1853596,Pure DPC,No
